Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 06:00:00, TS, -6.70,  66.40,  0.0, 1009.0,reunion,-100.000,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 12:00:00, TS, -6.90,  66.20, 20.0, 1007.0,reunion,   1.324,   3.564,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 18:00:00, TS, -7.20,  66.00, 23.0, 1006.0,reunion,  11.272,   5.366,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-16 00:00:00, TS, -7.60,  66.00, 25.0, 1005.0,reunion,  15.982,   7.802,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-16 06:00:00, TS, -8.00,  66.40, 28.0, 1003.0,reunion,  29.048,  14.525,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-16 12:00:00, TS, -8.40,  66.50, 35.0,  999.0,reunion,  43.016,  33.630,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-16 18:00:00, TS, -8.70,  66.60, 40.0,  997.0,reunion,  58.121,  39.463,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-17 00:00:00, TS, -9.00,  66.90, 50.0,  992.0,reunion,  71.991,  53.480,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-17 06:00:00, TS, -9.10,  67.40, 60.0,  987.0,reunion,  81.606,  66.283,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-17 12:00:00, TS, -9.30,  68.10, 57.0,  988.0,reunion,  80.981,  64.291,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-17 18:00:00, TS, -9.60,  68.70, 50.0,  990.0,reunion,  71.991,  61.314,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-18 00:00:00, TS,-10.30,  69.30, 53.0,  988.0,reunion,  78.147,  64.291,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-18 06:00:00, TS,-10.80,  69.80, 55.0,  987.0,reunion,  78.464,  66.283,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-18 12:00:00, TS,-11.20,  70.20, 50.0,  990.0,reunion,  71.991,  61.314,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-18 18:00:00, TS,-11.60,  70.50, 47.0,  992.0,reunion,  71.204,  53.480,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-19 00:00:00, TS,-12.10,  70.80, 45.0,  993.0,reunion,  67.127,  52.472,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-19 06:00:00, TS,-12.60,  70.60, 42.0,  995.0,reunion,  62.888,  47.424,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-19 12:00:00, TS,-13.00,  70.40, 37.0,  997.0,reunion,  56.026,  39.463,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-19 18:00:00, TS,-13.20,  70.20, 30.0, 1001.0,reunion,  34.099,  22.541,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-20 00:00:00, TS,-13.50,  69.90, 30.0, 1001.0,reunion,  34.099,  22.541,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-20 06:00:00, TS,-14.00,  69.20, 30.0, 1002.0,reunion,  34.099,  17.851,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-20 12:00:00, TS,-14.30,  68.70, 30.0, 1003.0,reunion,  34.099,  14.525,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-20 18:00:00, TS,-14.80,  67.60, 28.0, 1004.0,reunion,  29.048,  11.136,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-21 00:00:00, TS,-15.10,  66.30, 27.0, 1004.0,reunion,  27.010,  11.136,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-21 06:00:00, TS,-15.20,  64.80, 27.0, 1004.0,reunion,  27.010,  11.136,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-21 12:00:00, TS,-14.90,  63.50, 27.0, 1005.0,reunion,  27.010,   7.802,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-21 18:00:00, TS,-14.80,  62.40, 25.0, 1007.0,reunion,  15.982,   3.564,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-22 00:00:00, TS,-14.60,  61.40, 25.0, 1008.0,reunion,  15.982,   2.095,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-22 06:00:00, TS,-14.30,  60.40, 25.0, 1009.0,reunion,  15.982,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-22 12:00:00, TS,-14.00,  59.40, 25.0, 1009.0,reunion,  15.982,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-22 18:00:00, TS,-13.80,  58.40, 25.0, 1009.0,reunion,  15.982,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-23 00:00:00, TS,-13.70,  57.40, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-23 06:00:00, TS,-13.60,  56.30, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-23 12:00:00, TS,-13.50,  55.10, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-23 18:00:00, TS,-13.10,  53.90, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-24 00:00:00, TS,-12.40,  52.70, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-24 06:00:00, TS,-11.90,  51.40, 20.0, 1009.0,reunion,   1.324,   1.381,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-23 06:00:00, TS, -8.00,  77.30, 20.0, 1006.0,reunion,   1.324,   5.366,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-23 12:00:00, TS, -8.00,  76.10, 20.0, 1005.0,reunion,   1.324,   7.802,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-23 18:00:00, TS, -8.10,  75.00, 20.0, 1005.0,reunion,   1.324,   7.802,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-24 00:00:00, TS, -8.20,  73.90, 22.0, 1004.0,reunion,  11.142,  11.136,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-24 06:00:00, TS, -8.30,  72.90, 23.0, 1003.0,reunion,  11.272,  14.525,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-24 12:00:00, TS, -8.50,  72.50, 25.0, 1002.0,reunion,  15.982,  17.851,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-24 18:00:00, TS, -8.90,  72.10, 27.0, 1001.0,reunion,  27.010,  22.541,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-25 00:00:00, TS, -9.70,  71.50, 28.0, 1000.0,reunion,  29.048,  24.256,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-25 06:00:00, TS,-10.00,  70.40, 30.0,  998.0,reunion,  34.099,  35.955,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-25 12:00:00, TS,-10.20,  69.90, 30.0,  998.0,reunion,  34.099,  35.955,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-25 18:00:00, TS,-10.90,  69.70, 30.0,  999.0,reunion,  34.099,  33.630,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-26 00:00:00, TS,-11.50,  68.90, 28.0, 1000.0,reunion,  29.048,  24.256,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-26 06:00:00, TS,-12.10,  67.80, 27.0, 1001.0,reunion,  27.010,  22.541,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-26 12:00:00, TS,-12.40,  67.20, 27.0, 1001.0,reunion,  27.010,  22.541,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-26 18:00:00, TS,-12.90,  66.50, 27.0, 1001.0,reunion,  27.010,  22.541,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-27 00:00:00, TS,-13.40,  65.80, 27.0, 1001.0,reunion,  27.010,  22.541,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-27 06:00:00, TS,-13.80,  65.00, 28.0, 1000.0,reunion,  29.048,  24.256,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-27 12:00:00, TS,-14.10,  64.20, 28.0, 1000.0,reunion,  29.048,  24.256,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-27 18:00:00, TS,-14.50,  63.50, 28.0, 1000.0,reunion,  29.048,  24.256,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-28 00:00:00, TS,-14.90,  62.80, 30.0,  998.0,reunion,  34.099,  35.955,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-28 06:00:00, TS,-15.60,  61.90, 32.0,  997.0,reunion,  41.416,  39.463,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-28 12:00:00, TS,-16.20,  61.50, 32.0,  997.0,reunion,  41.416,  39.463,main
2014327S08077,2015,02, SI, MM,0220142015:TWO,2014-11-28 18:00:00, TS,-16.60,  61.20, 30.0,  998.0,reunion,  34.099,  35.955,main
